id,title,price,promo_price,url
10950,Конструктор LEGO DUPLO Town Фермерский трактор и животные,1 909 ₽,1 599 ₽,https://www.detmir.ru/product/index/id/3405530/
60292,Конструктор LEGO My City Центр города,10 789 ₽,8 499 ₽,https://www.detmir.ru/product/index/id/3405579/
10957,Конструктор LEGO DUPLO My First Пожарный вертолет и полицейский автомобиль,949 ₽,699 ₽,https://www.detmir.ru/product/index/id/3405528/
10951,Конструктор LEGO DUPLO Town Конюшня для лошади и пони,2 989 ₽,2 399 ₽,https://www.detmir.ru/product/index/id/3405531/
71737,Конструктор LEGO Ninjago Ниндзя-перехватчик Х-1,5 389 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405626/
10942,Конструктор LEGO DUPLO Disney Дом и кафе Минни,5 389 ₽,4 299 ₽,https://www.detmir.ru/product/index/id/3596717/
76145,Конструктор LEGO Super Heroes Воздушное нападение Вечных,1 189 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405596/
41685,Конструктор LEGO Friends Американские горки на Волшебной ярмарке,10 189 ₽,8 799 ₽,https://www.detmir.ru/product/index/id/3596785/
43200,Конструктор LEGO Disney Princess,2 029 ₽,Скидки нет,https://www.detmir.ru/product/index/id/4058545/
10933,Конструктор LEGO DUPLO Башенный кран на стройке,11 989 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3244480/
60303,Конструктор LEGO City Occasions Новогодний календарь,2 029 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3777764/
71382,Конструктор LEGO Super Mario дополнительный набор загадочное испытание растения-пираньи,3 229 ₽,2 099 ₽,https://www.detmir.ru/product/index/id/3405614/
60214,Конструктор LEGO City Fire Пожар в бургер-кафе,2 989 ₽,2 689 ₽,https://www.detmir.ru/product/index/id/3142077/
10952,Конструктор LEGO DUPLO Town Фермерский трактор сарай и животные,7 789 ₽,5 999 ₽,https://www.detmir.ru/product/index/id/3405532/
41446,Конструктор LEGO Friends Ветеринарная клиника Хартлейк-Сити,4 309 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405555/
10940,Конструктор LEGO DUPLO Super Heroes Штаб-квартира Человека-паука,3 109 ₽,2 499 ₽,https://www.detmir.ru/product/index/id/3596716/
42129,Конструктор LEGO Technic Полноприводный грузовик-внедорожник Mercedes-Benz Zetros,31 189 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3596876/
76940,Конструктор LEGO Jurassic World Скелет тираннозавра на выставке,3 349 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3597052/
41169,Конструктор LEGO Disney Frozen Олаф,1 299 ₽,649 ₽,https://www.detmir.ru/product/index/id/3200883/
60280,Конструктор LEGO City Fire Пожарная машина с лестницей,1 789 ₽,1 499 ₽,https://www.detmir.ru/product/index/id/3405582/
76939,Конструктор LEGO Jurassic World Побег стигимолоха,4 429 ₽,3 899 ₽,https://www.detmir.ru/product/index/id/3597051/
21164,Конструктор LEGO Minecraft Коралловый риф,1 189 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405636/
10774,Конструктор LEGO Mickey and Friends Космическая ракета Микки и Минни,1 909 ₽,1 599 ₽,https://www.detmir.ru/product/index/id/3596714/
10773,Конструктор LEGO Mickey and Friends Магазин мороженого Минни,1 909 ₽,1 599 ₽,https://www.detmir.ru/product/index/id/3596713/
60307,Конструктор LEGO City Wildlife Лагерь спасения дикой природы,10 789 ₽,8 499 ₽,https://www.detmir.ru/product/index/id/3620627/
10930,Конструктор LEGO DUPLO Бульдозер,889 ₽,649 ₽,https://www.detmir.ru/product/index/id/3244473/
71747,Конструктор LEGO Ninjago Деревня Хранителей,5 389 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405622/
41168,Конструктор LEGO Disney Frozen Шкатулка Эльзы,4 309 ₽,3 869 ₽,https://www.detmir.ru/product/index/id/3200882/
71387,Конструктор LEGO Super Mario Стартовый набор Приключения вместе с Луиджи,5 989 ₽,5 299 ₽,https://www.detmir.ru/product/index/id/3596925/
10700,Конструктор LEGO Classic Строительная пластина зеленого цвета,829 ₽,599 ₽,https://www.detmir.ru/product/index/id/618981/
76156,Конструктор LEGO Super Heroes Взлёт Домо,9 589 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405599/
60294,Конструктор LEGO Грузовик для шоу каскадёров,6 589 ₽,5 799 ₽,https://www.detmir.ru/product/index/id/3596884/
10946,Конструктор LEGO DUPLO Town Семейное приключение на микроавтобусе,2 989 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3596755/
2304,Конструктор LEGO DUPLO Большая строительная пластина,1 549 ₽,1 299 ₽,https://www.detmir.ru/product/index/id/3233714/
60298,Конструктор LEGO City Stunt,709 ₽,629 ₽,https://www.detmir.ru/product/index/id/3596888/
10947,Конструктор LEGO DUPLO Town Гоночные машины,5 389 ₽,3 769 ₽,https://www.detmir.ru/product/index/id/3596756/
10948,Конструктор LEGO DUPLO Town Гараж и автомойка,10 789 ₽,8 499 ₽,https://www.detmir.ru/product/index/id/3596757/
11014,Конструктор LEGO Classic Кубики и колёса,5 389 ₽,3 349 ₽,https://www.detmir.ru/product/index/id/3405536/
71730,Конструктор LEGO Ninjago Легендарные битвы: Кай против Армии скелетов,949 ₽,599 ₽,https://www.detmir.ru/product/index/id/3405628/
41447,Конструктор LEGO Friends Парк Хартлейк Сити,4 309 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3475287/
76155,Конструктор LEGO Super Heroes Вечные перед лицом Аришема,7 789 ₽,6 899 ₽,https://www.detmir.ru/product/index/id/3405598/
60302,Конструктор LEGO City Wildlife,10 189 ₽,7 999 ₽,https://www.detmir.ru/product/index/id/3596921/
43193,Конструктор LEGO Disney Princess Книга сказочных приключений Ариэль Белль Золушки и Тианы,2 389 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3596878/
43110,Конструктор LEGO VIDIYO Folk Fairy BeatBox (Битбокс Феи Фолка),1 789 ₽,799 ₽,https://www.detmir.ru/product/index/id/3599720/
71704,Конструктор LEGO Ninjago Истребитель Кая,4 309 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3244585/
41682,Конструктор LEGO Friends Школа Хартлейк Сити,7 789 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3596782/
75547,Конструктор LEGO Minions Тренировочный полёт,3 589 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3244544/
41937,Конструктор LEGO Dots Большой набор Летнее настроение,3 109 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3596836/
71753,Конструктор LEGO Ninjago Атака огненного дракона,5 389 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3596977/
43192,Конструктор LEGO Disney Princess Королевская карета Золушки,4 309 ₽,3 869 ₽,https://www.detmir.ru/product/index/id/3405544/
41431,Конструктор LEGO Friends Набор кубиков Хартлейк Сити,4 309 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3475286/
76941,Конструктор LEGO Jurassic World Погоня за карнотавром,5 509 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3597053/
11008,Конструктор LEGO Classic Кубики и домики,1 909 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3226570/
10701,Строительная пластина LEGO Classic Серая,1 549 ₽,1 299 ₽,https://www.detmir.ru/product/index/id/618971/
42116,Конструктор LEGO Technic Фронтальный погрузчик,1 069 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405645/
10882,Конструктор LEGO DUPLO Town Рельсы,2 149 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3092804/
41683,Конструктор LEGO Friends Лесной клуб верховой езды,7 789 ₽,6 799 ₽,https://www.detmir.ru/product/index/id/3596783/
71746,Конструктор LEGO Ninjago Дракон из джунглей,4 309 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405621/
75299,Конструктор LEGO Star Wars Испытание на Татуине,3 349 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405641/
60243,Конструктор LEGO City Police Погоня на полицейском вертолете,2 989 ₽,2 199 ₽,https://www.detmir.ru/product/index/id/3226650/
41936,Конструктор LEGO Dots Подставка для карандашей,2 029 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3596822/
10958,Конструктор LEGO DUPLO Classic Веселый день рождения,6 589 ₽,4 999 ₽,https://www.detmir.ru/product/index/id/3475282/
75297,Конструктор LEGO Star Wars Истребитель Сопротивления типа X,2 149 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3498482/
75310,Конструктор LEGO Star Wars Дуэль на Мандалоре,2 149 ₽,1 499 ₽,https://www.detmir.ru/product/index/id/3597021/
76177,Конструктор LEGO Super Heroes Битва в древней деревне,4 429 ₽,3 899 ₽,https://www.detmir.ru/product/index/id/3594628/
75305,Конструктор LEGO Star Wars Шлем пехотинца-разведчика,5 989 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3594633/
42114,Конструктор LEGO Technic Самосвал Volvo 6*6,27 589 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3244612/
42124,Конструктор LEGO Technic Квадроцикл,14 989 ₽,11 999 ₽,https://www.detmir.ru/product/index/id/3405649/
31117,Конструктор LEGO Creator Приключения на космическом шаттле,5 389 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3596769/
10949,Конструктор LEGO DUPLO Town Уход за животными на ферме,889 ₽,749 ₽,https://www.detmir.ru/product/index/id/3405529/
75298,Конструктор LEGO Star Wars Микрофайтеры AT-AT против таунтауна,2 149 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3498483/
10775,Конструктор LEGO Mickey and Friends Ферма Микки и Дональда,3 109 ₽,2 399 ₽,https://www.detmir.ru/product/index/id/3620623/
60290,Конструктор LEGO My City Скейт-парк,3 139 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405577/
43112,Конструктор LEGO VIDIYO Robo HipHop Car (Машина Хип-Хоп Робота),2 989 ₽,2 259 ₽,https://www.detmir.ru/product/index/id/3599722/
31088,Конструктор LEGO Creator Обитатели морских глубин,1 669 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3144096/
43104,Конструктор LEGO Vidiyo Битбокс Диджея Пришельца,1 789 ₽,1 159 ₽,https://www.detmir.ru/product/index/id/3498477/
43197,Конструктор LEGO Disney Princess Ледяной замок,23 629 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3596882/
41440,Конструктор LEGO Friends Пекарня Хартлейк-Сити,1 909 ₽,1 239 ₽,https://www.detmir.ru/product/index/id/3405552/
41690,Конструктор LEGO Friends Новогодний календарь,2 389 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3777569/
31118,Конструктор LEGO Creator Пляжный домик серферов,5 389 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405542/
71740,Конструктор LEGO Ninjago Электрический робот Джея,2 029 ₽,1 699 ₽,https://www.detmir.ru/product/index/id/3405619/
71754,Конструктор LEGO Ninjago Водный дракон,7 789 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3597018/
76390,Конструктор LEGO Harry Potter Новогодний календарь,3 109 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3777767/
10939,Конструктор LEGO Jurassic World Побег динозавров: тираннозавр и трицератопс,3 109 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405534/
76904,Конструктор LEGO Speed Champions Mopar Dodge//SRT Top Fuel Dragster and 1970 Dodge Challenger T/A,6 589 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3597050/
71024,Конструктор LEGO Minifigures Серия Disney 2,289 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3166176/
41448,Конструктор LEGO Friends Кинотеатр Хартлейк-Сити,5 389 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405549/
71732,Конструктор LEGO Ninjago Легендарные битвы: Джей против воина-серпентина,949 ₽,849 ₽,https://www.detmir.ru/product/index/id/3405630/
41663,Конструктор LEGO Friends Кьюб Эммы с далматинцем,889 ₽,609 ₽,https://www.detmir.ru/product/index/id/3405557/
43111,Конструктор LEGO VIDIYO Candy Castle Stage (Сцена карамельного замка),2 989 ₽,2 259 ₽,https://www.detmir.ru/product/index/id/3599721/
60297,Конструктор LEGO City Stunt,709 ₽,629 ₽,https://www.detmir.ru/product/index/id/3596887/
11015,Конструктор LEGO Classic Вокруг света,5 389 ₽,4 499 ₽,https://www.detmir.ru/product/index/id/3596763/
76125,Конструктор LEGO Marvel Super Heroes Лаборатория Железного человека,6 589 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3156354/
41689,Конструктор LEGO Friends Волшебное колесо обозрения и горка,6 589 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3596800/
10953,Конструктор LEGO DUPLO My First Единорог,949 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405526/
43191,Конструктор LEGO Disney Princess Праздничный корабль Ариэль,3 109 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405543/
75255,Конструктор LEGO Star Wars Йода,11 389 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3200890/
41912,Набор для творчества LEGO DOTS Браслет Попугайчики,529 ₽,299 ₽,https://www.detmir.ru/product/index/id/3239916/
31108,Конструктор LEGO Creator Отпуск в доме на колесах,8 989 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3244485/
41443,Конструктор LEGO Friends Электромобиль Оливии,1 549 ₽,1 299 ₽,https://www.detmir.ru/product/index/id/3405547/
75550,Конструктор LEGO Minions Бойцы кунг-фу,4 429 ₽,2 635 ₽,https://www.detmir.ru/product/index/id/3244546/
76176,Конструктор LEGO Super Heroes Побег от Десяти колец,3 349 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3594627/
